"y" "delta" "x1" "x2"
"1" 0.516632897656886 1 0.407826048737524 0
"2" 1.10880319277117 1 1.20303698999668 0
"3" 0.68488411307105 1 4.89319434844631 0
"4" 0.139873080822316 1 0.322911923939293 0
"5" 1.03114027866775 1 0.922883975050838 0
"6" 0.821351793139446 1 1.14158801006717 0
"7" 0.66243408649198 1 2.02983544719234 0
"8" 0.699837639484608 1 0.786865439536025 0
"9" 1.16517570289723 0 7.27521915245713 0
"10" 1.24637910884113 1 0.870413396221284 0
"11" 2.9217558945872 1 1.51839028518493 0
"12" 1.47673656811216 1 2.6691305360852 0
"13" 0.660984031549706 0 0.67523442270616 0
"14" 0.263279045563793 1 0.353571702973281 0
"15" 2.60395718651091 1 5.94308857468069 0
"16" 0.045022226792721 1 0.0991551895884259 0
"17" 0.888403052290754 1 2.40753783712375 0
"18" 1.53809543916678 1 1.03645549895379 0
"19" 0.200285155987012 0 2.75337846981885 0
"20" 1.15696527226021 1 1.54074359616235 0
"21" 14.1968977572944 0 8.09154108286964 0
"22" 0.357079535881629 1 0.301216555434821 0
"23" 0.716113217735008 1 4.90197507429607 0
"24" 2.4597296693775 1 7.06145868113961 0
"25" 1.19881280203847 1 1.00494998773812 0
"26" 0.0275550066520345 1 0.0861464617338246 1
"27" 0.741071048186515 1 1.61161583933157 1
"28" 0.363928028346059 1 0.550703807598285 1
"29" 0.810052860049773 1 2.208256456174 1
"30" 0.846280137850168 1 1.33594206570019 1
"31" 1.59591086012722 1 2.09371207660749 1
"32" 0.242075336932435 1 1.37569684774229 1
"33" 3.45936735276929 1 2.93340643583235 1
"34" 0.087707297699145 1 0.752647927345784 1
"35" 0.299471887598453 1 0.459932622073881 1
"36" 0.213297894133202 1 0.551198379800092 1
"37" 0.0855703741536678 1 0.177998567024603 1
"38" 0.110310314641525 1 0.405520245361716 1
"39" 0.450278240087879 1 0.571745157971971 1
"40" 0.454042153959966 1 0.781521539833448 1
"41" 0.542575300217184 1 0.681413318313811 1
"42" 0.0957479412231315 1 0.14098480291363 1
"43" 0.177843445988013 1 0.430975058209852 1
"44" 2.42303622182563 0 6.70965455369529 1
"45" 1.01895334165923 1 1.86356986426667 1
"46" 2.49037254440744 1 7.32227033969054 1
"47" 0.283762593740831 1 0.736766895729961 1
"48" 0.598027739907031 1 0.913159937996407 1
"49" 0.433099132000754 1 0.831801497342881 1
"50" 0.203104815004877 1 0.301565582630277 1
